,artist,type,country,id,followers,imgUrl,genres,popularity
0,Drake,person,CA,3TVXtAsR1Inumwj472S9r4,73278159,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,"canadian hip hop,canadian pop,hip hop,rap,toronto rap,",98
1,Post Malone,person,US,246dkjvS1zLTtiykXe5h60,40055478,https://i.scdn.co/image/ab6761610000e5ebb894ef9fa437b0389c5567cc,"dfw rap,melodic rap,rap,",90
2,Ed Sheeran,person,GB,6eUKZXaKkcviH0Ku9w2n3V,110587995,https://i.scdn.co/image/ab6761610000e5eb9e690225ad4445530612ccc9,"pop,uk pop,",92
3,J Balvin,person,CO,1vyhD5VmyZ7KMfW5gqLgo5,36859766,https://i.scdn.co/image/ab6761610000e5eb5d0fc400392250a750a9403e,"reggaeton,reggaeton colombiano,urbano latino,",89
4,Bad Bunny,person,PR,4q3ewBCX7sLwd24euuV69X,66415202,https://i.scdn.co/image/ab6761610000e5eb8ee9a6f54dcbd4bc95126b14,"reggaeton,trap latino,urbano latino,",99
5,Justin Bieber,person,CA,1uNFoZAHBGtllmzznpCI3s,70723587,https://i.scdn.co/image/ab6761610000e5eb8ae7f2aaa9817a704a87ea36,"canadian pop,pop,",92
6,Ozuna,person,PR,1i8SpTcr7yvPOmcqrbnVXY,36042223,https://i.scdn.co/image/ab6761610000e5eb39ce949d62ff47fc1de1a2d9,"puerto rican pop,reggaeton,trap latino,urbano latino,",90
7,Ariana Grande,person,US,66CXWjxzNUsdJxJ2JdwvnR,88834085,https://i.scdn.co/image/ab6761610000e5ebcdce7620dc940db079bf4952,"dance pop,pop,",92
8,Khalid,person,US,6LuN9FCkKOj5PcnpouEgny,15862406,https://i.scdn.co/image/ab6761610000e5eb31072db9da0311ecfabe96bf,"pop,pop r&b,",87
9,Daddy Yankee,person,PR,4VMYDCV2IEDYJArk749S6m,31966046,https://i.scdn.co/image/ab6761610000e5ebb00a14e06b6bce10b078d754,"latin hip hop,reggaeton,urbano latino,",89
10,Travis Scott,person,US,0Y5tJX1MQlPlqiwlOH1tJY,22061482,https://i.scdn.co/image/ab6761610000e5ebe707b87e3f65997f6c09bfff,"rap,slap house,",91
